index,prediction
0,78.0 inch
1,42.0 cm
2,200.0 cm
3,
4,
5,90.0 cm
6,10.50 cm
7,1.4 inch
8,40.0 centimetre
9,40.0 centimetre
10,
11,30.6 centimetre
12,4.3 inch
13,4.3 inch
14,4.3 inch
15,
16,
17,
18,
19,208.0 volt
20,76.0 centimetre
21,
22,
23,18.5 centimetre
24,185.0 centimetre
25,3.8 inch
26,3.8 inch
27,
28,9.5 kilogram
29,2.62 pound
30,
31,
32,5.8 inch
33,5.8 centimetre
34,5.8 inch
35,
36,72.0 cm
37,640
38,640
39,5.4 centimetre
40,47.2 inch
41,
42,48.0 inch
43,48.0 inch
44,16.1 inch
45,5.8 inch
46,5.8 inch
47,5.8 inch
48,47.0 inch
49,
50,120.0 cm
51,
52,
53,5.0 centimetre
54,7.56 inch
55,12.7 centimetre
56,
57,5.4 centimetre
58,47.2 inch
59,Not enough information for wattage.
60,
61,48.0 gram
62,280.0 millimeter
63,
64,280.0 millimetre
65,3.70 volt
66,
67,3.5 centimetre
68,4.2 inch
69,4.2 inch
70,4.2 inch
71,9.1 inch
72,9.1 inch
73,
74,", watt"
75,5.0 volt
76,4.7 inch
77,4.7 inch
78,
79,
80,
81,243.0 pound
82,11.1 pound
83,10.0 ounce
84,39.0 centimetre
85,39.0 inch
86,39.0 centimetre
87,
88,
89,
90,
91,200.0 pound
92,400.0 mm
93,27.0 inch
94,
95,12.5 inch
96,12.5 inch
97,9.6 volt
98,80.0 cm
99,14.9 inch
100,14.6 inch
101,2.0 floz
102,
103,90.0 centimetre
104,40.0 centimetre
105,16.0 centimetre
106,16.0 centimetre
107,"60 cm(23.6"")"
108,
109,40.0 centimetre
110,
111,
112,1650.0 watt
113,SMARTBX1650W
114,
115,500.0 watt
116,1.05 ounce
117,
118,45.0 centimetre
119,
120,Grilled Steak & Classic Loaf
121,"31cm 25.7.cm"" and provide the answer: **"
122,
123,75.0 pound
124,35.27 ton
125,
126,
127,191.0 centimetre
128,
129,7.8 pound
130,
131,25.6 inch
132,25.6 inch
133,25.6 inch
134,
135,20.0 centimetre
136,20.0 centimetre
137,18.5 centimetre
138,29.00 centimetre
139,11.5 inch
140,10.5 millimetre
141,3.40 centimetre
142,208.3 cm
143,208.3 cm
144,90.0 cm
145,90.0 centimetre
146,90.0 centimetre
147,TECHNOLOGY LTD 20/20
148,
149,
150,
151,74.93 centimetre
152,7.86 inch
153,7.86 inch
154,5.0 centimetre
155,5.0 centimetre
156,
157,30.0 inch
158,30.0 inch
159,0.7 inch
160,25.0 centimetre
161,PEPPERM
162,82.0 centimetre
163,10.0 inch
164,
165,
166,
167,6.0 kilogram
168,35.0 centimetre
169,10.5 cm
170,
171,34.0 inch
172,8.50 unit
173,7.8 cm
174,",  , "
175,14.0 centimetre
176,3609W WDUSTI
177,
178,20.0 pound
179,5.9 inch
180,5.9 inch
181,2.00 pound
182,74.50 centimetre
183,
184,
185,
186,5.08 inch
187,1 2.83inch
188,11.0 inch
189,2.7 inch
190,35.0 ounce
191,
192,40.0 centimetre
193,6.2 pound
194,127.5 cm
195,27.40 centimetre
196,27.4 centimetre
197,40.0 pound
198,Bottle diameter 12mm thread 1/2-20 UNF
199,455.0 gram
200,37.5 centimetre
201,37.5 centimetre
202,37.5 centimetre
203,10.0 inch
204,10.0 inch
205,
206,
207,10.5 inch
208,
209,11.8 kilogram
210,213.5 millimetre
211,
212,128.0 centimeter
213,5.0 volt
214,
215,30.0 centimetre
216,12.0 volt
217,12.0 watt
218,
219,
220,
221,8.1 inch
222,43.18 centimetre
223,50.7 pound
224,
225,3.0 foot
226,8.50 centimetre
227,4.0 ounce
228,37.0 pound
229,
230,5.0 volt
231,23.5 centimetre
232,30.9CM
233,160.0 centimetre
234,
235,31.5 inch
236,6.5 cm
237,183.0 cm
238,183.0 centimeter
239,60.0 centimetre
240,5.0 centimetre
241,180.0 centimetre
242,18.0 inch
243,7.0 cm
244,7.4 inch
245,15.1 centimetre
246,15.1 centimetre
247,70.5 cm
248,180.0 cm
249,2.32 inch
250,2.32 cm
251,65.0 centimetre
252,120.5 g
253,40.0 meter
254,
255,16.0 cm
256,16.0 centimeter
257,16.0 centimetre
258,76.0 centimetre
259,
